missing_entry	left_entry	left_page	right_entry	right_page	comment
441	440	70	442	71	ambiguous between page 70 and page 71
446	445	71	449	72	ambiguous between page 71 and page 72
447	445	71	449	72	ambiguous between page 71 and page 72
448	445	71	449	72	ambiguous between page 71 and page 72
489	488	76	491	77	ambiguous between page 76 and page 77
490	488	76	491	77	ambiguous between page 76 and page 77
732	731	110	739	111	ambiguous between page 110 and page 111
733	731	110	739	111	ambiguous between page 110 and page 111
734	731	110	739	111	ambiguous between page 110 and page 111
735	731	110	739	111	ambiguous between page 110 and page 111
736	731	110	739	111	ambiguous between page 110 and page 111
737	731	110	739	111	ambiguous between page 110 and page 111
738	731	110	739	111	ambiguous between page 110 and page 111
761	760	112	762	113	ambiguous between page 112 and page 113
770	769	113	771	114	ambiguous between page 113 and page 114
776	775	114	778	115	ambiguous between page 114 and page 115
777	775	114	778	115	ambiguous between page 114 and page 115
787	786	116	788	117	ambiguous between page 116 and page 117
833	832	122	835	123	ambiguous between page 122 and page 123
834	832	122	835	123	ambiguous between page 122 and page 123
847	846	123	848	124	ambiguous between page 123 and page 124
857	856	124	858	125	ambiguous between page 124 and page 125
910	909	132	913	133	ambiguous between page 132 and page 133
911	909	132	913	133	ambiguous between page 132 and page 133
912	909	132	913	133	ambiguous between page 132 and page 133
918	917	133	919	134	ambiguous between page 133 and page 134
928	927	135	929	136	ambiguous between page 135 and page 136
983	982	144	985	145	ambiguous between page 144 and page 145
984	982	144	985	145	ambiguous between page 144 and page 145
1000	999	146	1001	147	ambiguous between page 146 and page 147
1018	1017	149	1019	150	ambiguous between page 149 and page 150
1023	1022	150	1027	151	ambiguous between page 150 and page 151
1024	1022	150	1027	151	ambiguous between page 150 and page 151
1025	1022	150	1027	151	ambiguous between page 150 and page 151
1026	1022	150	1027	151	ambiguous between page 150 and page 151
1057	1056	153	1058	154	ambiguous between page 153 and page 154
1066	1065	154	1067	155	ambiguous between page 154 and page 155
1086	1085	156	1088	157	ambiguous between page 156 and page 157
1087	1085	156	1088	157	ambiguous between page 156 and page 157
1094	1093	157	1096	158	ambiguous between page 157 and page 158
1095	1093	157	1096	158	ambiguous between page 157 and page 158
1103	1102	159	1104	161	ambiguous between page 159 and page 161
1113	1112	161	1114	162	ambiguous between page 161 and page 162
1169	1168	168	1170	169	ambiguous between page 168 and page 169
1180	1179	169	1181	170	ambiguous between page 169 and page 170
1203	1202	174	1206	175	ambiguous between page 174 and page 175
1204	1202	174	1206	175	ambiguous between page 174 and page 175
1205	1202	174	1206	175	ambiguous between page 174 and page 175
1283	1282	188	1284	189	ambiguous between page 188 and page 189
1300	1299	190	1302	191	ambiguous between page 190 and page 191
1301	1299	190	1302	191	ambiguous between page 190 and page 191
1311	1310	191	1312	192	ambiguous between page 191 and page 192
1376	1375	201	1379	202	ambiguous between page 201 and page 202
1377	1375	201	1379	202	ambiguous between page 201 and page 202
1378	1375	201	1379	202	ambiguous between page 201 and page 202
1414	1413	206	1415	207	ambiguous between page 206 and page 207
1448	1447	211	1451	212	ambiguous between page 211 and page 212
1449	1447	211	1451	212	ambiguous between page 211 and page 212
1450	1447	211	1451	212	ambiguous between page 211 and page 212
1452	1451	212	1453	213	ambiguous between page 212 and page 213
1486	1485	216	1494	217	ambiguous between page 216 and page 217
1487	1485	216	1494	217	ambiguous between page 216 and page 217
1488	1485	216	1494	217	ambiguous between page 216 and page 217
1489	1485	216	1494	217	ambiguous between page 216 and page 217
1490	1485	216	1494	217	ambiguous between page 216 and page 217
1491	1485	216	1494	217	ambiguous between page 216 and page 217
1492	1485	216	1494	217	ambiguous between page 216 and page 217
1493	1485	216	1494	217	ambiguous between page 216 and page 217
1519	1518	220	1520	221	ambiguous between page 220 and page 221
1560	1559	227	1561	229	ambiguous between page 227 and page 229
1565	1564	230	1567	231	ambiguous between page 230 and page 231
1566	1564	230	1567	231	ambiguous between page 230 and page 231
1590	1589	234	1592	235	ambiguous between page 234 and page 235
