page	entry	sub_id	is_head	score	status	scan	text_position	match_rel_start	match_rel_end	candidate_entries	detected_header_entry	reviewed	review_note	ocr_last_lines	xml_sublemma_preview
1	12	10800012-1	0	62.96	ok	H4 6481 (8,1_0071.jpg	ends-here	0.844	0.994	11|12|13		0		cur) 63:'S'570 593 202'-204'.	de can. et preb. eccl. b. Marie Glogovie < maior. > Wratislav. dioc. 4 m. arg. p. vacat. p. resign. d. Pauli < p. mag. Nicolaum Tungen script. et fam. pape procur. > 30. decb. 1463 S 570 245rs ., L 593 202r-204r .
2	24	10800024-2	0	100.00	ok	H4 6481 (8,1_0072.jpg	continues	0.372	0.481	23|24|25		0		ville Ditkyrchen Veronen., Trever. et Colon. dioc. ex causa perm. et	adm. resign. Ade par. eccl. s. Petri de Villafrancha et Johannis Caldarificis de Monteboyr can. et preb. eccl. s. Florini Confluenci ac Johannis Lenss par. eccl. in Reimberg necnon perp. s. c. vicar. ad alt. s. Trinitatis in eccl. ville Ditkyrchen Veronen., Trever. et Colon. dioc. ex causa perm. et prov. sibi de eccl. in Reimberg Colon. dioc. 5 m. arg. , n. o. prov. de par. eccl. in Goesendorp Colon. dioc. 15 m. arg. quam n. possidet litig. in cur. , c. disp. retin. insimul d. eccl. in Goesendor ...
3	36	10800036-3	0	83.33	ok	H4 6481 (8,1_0073.jpg	ends-here	0.805	0.994	35|36|37		0		Q) 1123) 108) 443 13. ielE 444 13”.	oblig. p. m. Petri Bogart script. pape sup. annat. can. et preb. d. eccl. s. Victoris s. d. 11. sept. 59 , solv. 16 fl. adc. 25. oct. 1459 A 12 29v , Q 1123 108v , IE 443 13v , IE 444 13v .
4	42	10800042-3	0	76.00	ok	H4 6481 (8,1_0074.jpg	starts-here	0.000	0.576	41|42|43		0		59 § 520 201", L 546 154” - de com- miss. visit. monasteria in dominio	de commiss. visit. monasteria in dominio suo 24. iul. 1459 S 520 201rs .
5	52	10800052-8	0	75.86	ok	H4 6481 (8,1_0075.jpg	ends-here	0.442	1.000	51|52|53		0		14. decb. 58 L 548A 20's. - de lic. perm.	lic. resign. 2 benef. 14. decb. 1458 L 548A 20vs .
6	53	10800053-3	0	100.00	ok	H4 6481 (8,1_0076.jpg	starts-here	0.024	0.192	52|53|54		0		perp. capn. ad alt. ss. Nicolai et Omn. ss. ac b. Barbare in par. eccl.	m. confer. perp. capn. ad alt. ss. Nicolai et Omn. ss. ac b. Barbare in par. eccl. de Outhuesden Leod. dioc. 3 m. arg. vac. p. o. Henrici Roetvin, n. o. quod papa sub eodem dato Adriano de can. et preb. eccl. s. Catherine op. Huesden d. dioc. 4 vac. p. o. eiusdem Henrici prov. ac perp. s. c. capn. ad alt. s. Blasii et b. Marie Magdalene in eccl. s. Dyonisii Leod. 4 m. arg. litig. in cur. 26. sept. 1461 L 575 166vs .
7	64	10800064-1	0	98.15	ok	H4 6481 (8,1_0077.jpg	continues	0.384	0.593	63|64|65		0		et dioc. Morinen. constitu- te: conf. privil. Gregorii XI., Eu-	Universe persone utr. sexus ad custod. infirmorum et presertim vigente peste p. A., Brabantiam , Flandriam et dioc. Morinen. constitute : conf. privil. Gregorii XI. , Eugenii IV. et Nicolai V. de recip. loca et exten. ad provin. Francie et lic. elig. confess. 3. ian. 1459 V 498 253rs .
8	69	10800069-1	0	100.00	ok	H4 6481 (8,1_0078.jpg	continues	0.364	0.566	68|69|70		0		benef. c. Hinrico de Hachede leg. doct. perm. etiamsi vac. adhuc p.	de nova prov. de can. et preb. eccl. ss. Petri et Pauli Bardewicen. Verden. dioc. 4 m. arg. quos pro quoddam perp. s. c. benef. c. Hinrico de Hachede leg. doct. perm. etiamsi vac. adhuc p. o. in cur. Johannis Sloer script. penitentiarie qui illos obtin. aut litig. inter Hinricum et Nicolaum Grawcrod 12. iul. 1463 S 565 14v .
9	76	10800076-3	0	90.43	ok	H4 6481 (8,1_0079.jpg	ends-here	0.509	1.000	75|76|77		0		donandis ambasciatoribus suis 28. feb. 59 SpM 1473 26' - marchese	item 53 fl. 23 bol. pro cera ad candelas et pro marzapani donandis ambasciatoribus suis 28. feb. 1459 SpM 1473 26r .
10	76	10800076-24	0	98.28	ok	H4 6481 (8,1_0080.jpg	continues	0.463	0.852	75|76|77		0		nendi Judeos ad solvendum steu- ram infra temp. statuendum 6.	imper. capitaneus cui Fridericus R. I. censum Judeorum conc. : de commiss. monendi Judeos ad solvendum steuram infra temp. statuendum 6. mart. 1464 S 572 97rss .
