entry	page	answer	image_a	image_b	left_page	right_page
441	71	B	H4 6481 (8,1_0140.jpg	H4 6481 (8,1_0141.jpg	70	71
446	71	A	H4 6481 (8,1_0141.jpg	H4 6481 (8,1_0142.jpg	71	72
447	71	A	H4 6481 (8,1_0141.jpg	H4 6481 (8,1_0142.jpg	71	72
448	71	A	H4 6481 (8,1_0141.jpg	H4 6481 (8,1_0142.jpg	71	72
489	76	A	H4 6481 (8,1_0146.jpg	H4 6481 (8,1_0147.jpg	76	77
490	76	A	H4 6481 (8,1_0146.jpg	H4 6481 (8,1_0147.jpg	76	77
732	110	A	H4 6481 (8,1_0180.jpg	H4 6481 (8,1_0181.jpg	110	111
733	110	A	H4 6481 (8,1_0180.jpg	H4 6481 (8,1_0181.jpg	110	111
734	110	A	H4 6481 (8,1_0180.jpg	H4 6481 (8,1_0181.jpg	110	111
735	110	A	H4 6481 (8,1_0180.jpg	H4 6481 (8,1_0181.jpg	110	111
736	110	A	H4 6481 (8,1_0180.jpg	H4 6481 (8,1_0181.jpg	110	111
737	110	A	H4 6481 (8,1_0180.jpg	H4 6481 (8,1_0181.jpg	110	111
738	110	A	H4 6481 (8,1_0180.jpg	H4 6481 (8,1_0181.jpg	110	111
761	113	B	H4 6481 (8,1_0182.jpg	H4 6481 (8,1_0183.jpg	112	113
770	114	B	H4 6481 (8,1_0183.jpg	H4 6481 (8,1_0184.jpg	113	114
776	115	B	H4 6481 (8,1_0184.jpg	H4 6481 (8,1_0185.jpg	114	115
777	115	B	H4 6481 (8,1_0184.jpg	H4 6481 (8,1_0185.jpg	114	115
787	116	A	H4 6481 (8,1_0186.jpg	H4 6481 (8,1_0187.jpg	116	117
833	122	A	H4 6481 (8,1_0192.jpg	H4 6481 (8,1_0193.jpg	122	123
834	122	A	H4 6481 (8,1_0192.jpg	H4 6481 (8,1_0193.jpg	122	123
847	124	B	H4 6481 (8,1_0193.jpg	H4 6481 (8,1_0194.jpg	123	124
857	124	A	H4 6481 (8,1_0194.jpg	H4 6481 (8,1_0195.jpg	124	125
910	132	A	H4 6481 (8,1_0202.jpg	H4 6481 (8,1_0203.jpg	132	133
911	132	A	H4 6481 (8,1_0202.jpg	H4 6481 (8,1_0203.jpg	132	133
912	132	A	H4 6481 (8,1_0202.jpg	H4 6481 (8,1_0203.jpg	132	133
918	134	B	H4 6481 (8,1_0203.jpg	H4 6481 (8,1_0204.jpg	133	134
928	136	B	H4 6481 (8,1_0205.jpg	H4 6481 (8,1_0206.jpg	135	136
983	144	A	H4 6481 (8,1_0214.jpg	H4 6481 (8,1_0215.jpg	144	145
984	144	A	H4 6481 (8,1_0214.jpg	H4 6481 (8,1_0215.jpg	144	145
