scan_index	filename	raw_page	final_page	raw_entries	final_entries	notes
1	H4 6481 (8,1_0071.jpg	1	1	1,2,3,4,5,7,8,9,10,11,12	1,2,3,4,5,7,8,9,10,11,12	
2	H4 6481 (8,1_0072.jpg	2	2	13,14,15,16,17,18,19,20,21,22,23,24	13,14,15,16,17,18,19,20,21,22,23,24	
3	H4 6481 (8,1_0073.jpg	3	3	25,26,27,28,30,31,32,33,34,35,36	25,26,27,28,30,31,32,33,34,35,36	
4	H4 6481 (8,1_0074.jpg	4	4	37,38,39,40,41,42	37,38,39,40,41,42	
5	H4 6481 (8,1_0075.jpg	5	5	43,44,45,46,47,48,49,50,51,52	43,44,45,46,47,48,49,50,51,52	
6	H4 6481 (8,1_0076.jpg	6	6	53	53	
7	H4 6481 (8,1_0077.jpg	7	7	54,55,56,57,58,59,60,61,62,63,64	54,55,56,57,58,59,60,61,62,63,64	
8	H4 6481 (8,1_0078.jpg	8	8	65,66,67,68,69	65,66,67,68,69	
9	H4 6481 (8,1_0079.jpg	9	9	70,71,72,73,74,75,76	70,71,72,73,74,75,76	
10	H4 6481 (8,1_0080.jpg	10	10			
11	H4 6481 (8,1_0081.jpg	11	11	77,78,79,80,81,82	77,78,79,80,81,82	
12	H4 6481 (8,1_0082.jpg	12	12	83,84,85,86	83,84,85,86	
13	H4 6481 (8,1_0083.jpg	13	13	87,88	87,88	
14	H4 6481 (8,1_0084.jpg	14	14	89,90,91,92,93,94,95,96,97,98	89,90,91,92,93,94,95,96,97,98	
15	H4 6481 (8,1_0085.jpg	15	15	99,100,101	99,100,101	
16	H4 6481 (8,1_0086.jpg	16	16	102,103,104	102,103,104	
17	H4 6481 (8,1_0087.jpg	17	17	105,107,108,109,110	105,107,108,109,110	
18	H4 6481 (8,1_0088.jpg	18	18	14,111,112,113,115,116,118,119	111,112,113,114,115,116,118,119	entry corrected: 14 -> 114
19	H4 6481 (8,1_0089.jpg	19	19	120,121	120,121	
20	H4 6481 (8,1_0090.jpg	20	20			
21	H4 6481 (8,1_0091.jpg	721	21	122,123,124,125,126,127	122,123,124,125,126,127	page normalized: 721 -> 21
22	H4 6481 (8,1_0092.jpg	22	22	128,129,130,131,132,133,134	128,129,130,131,132,133,134	
23	H4 6481 (8,1_0093.jpg	23	23	135,136,137,138,139,140,141	135,136,137,138,139,140,141	
24	H4 6481 (8,1_0094.jpg	24	24	142,143,144,145,146,147,148,149,150	142,143,144,145,146,147,148,149,150	
25	H4 6481 (8,1_0095.jpg	25	25	151,152,153	151,152,153	
26	H4 6481 (8,1_0096.jpg	26	26	154,155,156,157,158	154,155,156,157,158	
27	H4 6481 (8,1_0097.jpg	None	27	159,160,161,162,163,164,165,166	159,160,161,162,163,164,165,166	page normalized: None -> 27
28	H4 6481 (8,1_0098.jpg	28	28	167,168	167,168	
29	H4 6481 (8,1_0099.jpg	None	29	169,170,171,172,173	169,170,171,172,173	page normalized: None -> 29
30	H4 6481 (8,1_0100.jpg	30	30	174,175,176,177	174,175,176,177	
31	H4 6481 (8,1_0101.jpg	31	31	178,179,180,182,183,184,185,186	178,179,180,182,183,184,185,186	
32	H4 6481 (8,1_0102.jpg	32	32	187,188,189,190,191,192,193,194,195	187,188,189,190,191,192,193,194,195	
33	H4 6481 (8,1_0103.jpg	33	33	196,197,198,199,200,201,202,203	196,197,198,199,200,201,202,203	
34	H4 6481 (8,1_0104.jpg	34	34	204,205,207,210,211,212,213,214,215,217,218,219,220,221,222,223,224,225	204,205,207,210,211,212,213,214,215,217,218,219,220,221,222,223,224,225	
35	H4 6481 (8,1_0105.jpg	35	35	226,227,228,229,230,231	226,227,228,229,230,231	
36	H4 6481 (8,1_0106.jpg	36	36	232,233,234,235,236,237,238	232,233,234,235,236,237,238	
37	H4 6481 (8,1_0107.jpg	37	37	239,240,241,242	239,240,241,242	
38	H4 6481 (8,1_0108.jpg	38	38	1,243,244,245,246,247,248,249,250,251,252	243,244,245,246,247,248,249,250,251,252	entry discarded: 1 (too small)
39	H4 6481 (8,1_0109.jpg	39	39	253,254,255,256,257,258,259,260,261,262	253,254,255,256,257,258,259,260,261,262	
40	H4 6481 (8,1_0110.jpg	40	40	263,264,265,266,267	263,264,265,266,267	
41	H4 6481 (8,1_0111.jpg	41	41	268,269,270,271,272	268,269,270,271,272	
42	H4 6481 (8,1_0112.jpg	42	42	273,274,275,276,277,278,279,280	273,274,275,276,277,278,279,280	
43	H4 6481 (8,1_0113.jpg	43	43	281,282,283,284	281,282,283,284	
44	H4 6481 (8,1_0114.jpg	44	44	285,286,287	285,286,287	
45	H4 6481 (8,1_0115.jpg	45	45	288,289,290	288,289,290	
46	H4 6481 (8,1_0116.jpg	46	46	291,292,293,294	291,292,293,294	
47	H4 6481 (8,1_0117.jpg	47	47			
48	H4 6481 (8,1_0118.jpg	48	48			
49	H4 6481 (8,1_0119.jpg	49	49	295,296	295,296	
50	H4 6481 (8,1_0120.jpg	50	50	297,298,299,300,301,302,303,304,305,306,307	297,298,299,300,301,302,303,304,305,306,307	
51	H4 6481 (8,1_0121.jpg	51	51	308,309,310,311,312,313	308,309,310,311,312,313	
52	H4 6481 (8,1_0122.jpg	52	52	314,315,316,317,318,319,320,321,323	314,315,316,317,318,319,320,321,323	
53	H4 6481 (8,1_0123.jpg	53	53	324,325,326,327,328,329	324,325,326,327,328,329	
54	H4 6481 (8,1_0124.jpg	54	54	330,331,332	330,331,332	
55	H4 6481 (8,1_0125.jpg	55	55	333,334,335,336,337,338,339,340,341,342	333,334,335,336,337,338,339,340,341,342	
56	H4 6481 (8,1_0126.jpg	56	56	343,344,345	343,344,345	
57	H4 6481 (8,1_0127.jpg	57	57	346,348,349,350,351,352,353,354	346,348,349,350,351,352,353,354	
58	H4 6481 (8,1_0128.jpg	58	58	355,356,358,359	355,356,358,359	
59	H4 6481 (8,1_0129.jpg	None	59	360,361,362	360,361,362	page normalized: None -> 59
60	H4 6481 (8,1_0130.jpg	60	60	363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379	363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379	
61	H4 6481 (8,1_0131.jpg	61	61	380,381,382,383,384,385,386	380,381,382,383,384,385,386	
62	H4 6481 (8,1_0132.jpg	62	62	387,388,389,390,391,392,393,394	387,388,389,390,391,392,393,394	
63	H4 6481 (8,1_0133.jpg	63	63	2		entry discarded: 2 (too small)
64	H4 6481 (8,1_0134.jpg	64	64	395,396,397,398,399,400,401	395,396,397,398,399,400,401	
65	H4 6481 (8,1_0135.jpg	65	65	402,403,404,405,406,407,409,410,411	402,403,404,405,406,407,409,410,411	
66	H4 6481 (8,1_0136.jpg	66	66	412,413,414,415,416,417,418	412,413,414,415,416,417,418	
67	H4 6481 (8,1_0137.jpg	67	67	419,420,421,422,423,424,425,426	419,420,421,422,423,424,425,426	
68	H4 6481 (8,1_0138.jpg	68	68	427,428,429,430,431,432,433,434,435	427,428,429,430,431,432,433,434,435	
69	H4 6481 (8,1_0139.jpg	69	69	436,437,438	436,437,438	
70	H4 6481 (8,1_0140.jpg	70	70	439,440	439,440	
71	H4 6481 (8,1_0141.jpg	7	71	442,445	442,445	page normalized: 7 -> 71
72	H4 6481 (8,1_0142.jpg	72	72	449,450,452,453	449,450,452,453	
