sub_id	entry	kind	page_start	page_end
10800001-0	1	head	1	1
10800001-1	1	sublemma	1	1
10800002-0	2	head	1	1
10800002-1	2	sublemma	1	1
10800003-0	3	head	1	1
10800003-1	3	sublemma	1	1
10800004-0	4	head	1	1
10800004-1	4	sublemma	1	1
10800004-2	4	sublemma	1	1
10800005-0	5	head	1	1
10800005-1	5	sublemma	1	1
10800006-0	6	head	1	1
10800006-1	6	sublemma	1	1
10800007-0	7	head	1	1
10800007-1	7	sublemma	1	1
10800008-0	8	head	1	1
10800008-1	8	sublemma	1	1
10800009-0	9	head	1	1
10800009-1	9	sublemma	1	1
10800010-0	10	head	1	1
10800010-1	10	sublemma	1	1
10800011-0	11	head	1	1
10800011-1	11	sublemma	1	1
10800011-2	11	sublemma	1	1
10800012-0	12	head	1	1
10800012-1	12	sublemma	1	1
10800013-0	13	head	2	2
10800013-1	13	sublemma	2	2
10800014-0	14	head	2	2
10800014-1	14	sublemma	2	2
10800015-0	15	head	2	2
10800015-1	15	sublemma	2	2
10800016-0	16	head	2	2
10800016-1	16	sublemma	2	2
10800017-0	17	head	2	2
10800017-1	17	sublemma	2	2
10800017-2	17	sublemma	2	2
10800018-0	18	head	2	2
10800018-1	18	sublemma	2	2
10800019-0	19	head	2	2
10800019-1	19	sublemma	2	2
10800020-0	20	head	2	2
10800020-1	20	sublemma	2	2
10800020-2	20	sublemma	2	2
10800021-0	21	head	2	2
10800021-1	21	sublemma	2	2
10800022-0	22	head	2	2
10800022-1	22	sublemma	2	2
10800022-2	22	sublemma	2	2
10800022-3	22	sublemma	2	2
10800023-0	23	head	2	2
10800023-1	23	sublemma	2	2
10800024-0	24	head	2	2
10800024-1	24	sublemma	2	2
10800024-2	24	sublemma	2	3
10800024-3	24	sublemma	3	3
10800024-4	24	sublemma	3	3
10800025-0	25	head	3	3
10800025-1	25	sublemma	3	3
10800026-0	26	head	3	3
10800026-1	26	sublemma	3	3
10800027-0	27	head	3	3
10800027-1	27	sublemma	3	3
10800028-0	28	head	3	3
10800028-1	28	sublemma	3	3
10800029-0	29	head	3	3
10800029-1	29	sublemma	3	3
10800030-0	30	head	3	3
10800030-1	30	sublemma	3	3
10800031-0	31	head	3	3
10800031-1	31	sublemma	3	3
10800032-0	32	head	3	3
10800032-1	32	sublemma	3	3
10800033-0	33	head	3	3
10800033-1	33	sublemma	3	3
10800034-0	34	head	3	3
10800034-1	34	sublemma	3	3
10800034-2	34	sublemma	3	3
10800035-0	35	head	3	3
10800035-1	35	sublemma	3	3
10800036-0	36	head	3	3
10800036-1	36	sublemma	3	3
10800036-2	36	sublemma	3	3
10800036-3	36	sublemma	3	3
10800037-0	37	head	4	4
10800037-1	37	sublemma	4	4
10800038-0	38	head	4	4
10800038-1	38	sublemma	4	4
10800039-0	39	head	4	4
10800039-1	39	sublemma	4	4
10800039-2	39	sublemma	4	4
10800039-3	39	sublemma	4	4
10800040-0	40	head	4	4
10800040-1	40	sublemma	4	4
10800040-2	40	sublemma	4	4
10800040-3	40	sublemma	4	4
10800040-4	40	sublemma	4	4
10800040-5	40	sublemma	4	4
10800040-6	40	sublemma	4	4
10800040-7	40	sublemma	4	4
10800040-8	40	sublemma	4	4
10800040-9	40	sublemma	4	4
10800040-10	40	sublemma	4	4
10800040-11	40	sublemma	4	4
10800040-12	40	sublemma	4	4
10800041-0	41	head	4	4
10800041-1	41	sublemma	4	4
10800042-0	42	head	4	4
10800042-1	42	sublemma	4	4
10800042-2	42	sublemma	4	4
10800042-3	42	sublemma	4	5
10800042-4	42	sublemma	5	5
10800042-5	42	sublemma	5	5
10800043-0	43	head	5	5
10800043-1	43	sublemma	5	5
10800044-0	44	head	5	5
10800044-1	44	sublemma	5	5
10800044-2	44	sublemma	5	5
10800045-0	45	head	5	5
10800045-1	45	sublemma	5	5
10800046-0	46	head	5	5
10800046-1	46	sublemma	5	5
10800047-0	47	head	5	5
10800047-1	47	sublemma	5	5
10800048-0	48	head	5	5
10800048-1	48	sublemma	5	5
10800048-2	48	sublemma	5	5
10800048-3	48	sublemma	5	5
10800049-0	49	head	5	5
10800049-1	49	sublemma	5	5
10800050-0	50	head	5	5
10800050-1	50	sublemma	5	5
10800051-0	51	head	5	5
10800051-1	51	sublemma	5	5
10800052-0	52	head	5	5
10800052-1	52	sublemma	5	5
10800052-2	52	sublemma	5	5
10800052-3	52	sublemma	5	5
10800052-4	52	sublemma	5	5
10800052-5	52	sublemma	5	5
10800052-6	52	sublemma	5	5
10800052-7	52	sublemma	5	5
10800052-8	52	sublemma	5	5
10800052-9	52	sublemma	6	6
10800052-10	52	sublemma	6	6
10800052-11	52	sublemma	6	6
10800052-12	52	sublemma	6	6
10800052-13	52	sublemma	6	6
10800052-14	52	sublemma	6	6
10800052-15	52	sublemma	6	6
10800052-16	52	sublemma	6	6
10800052-17	52	sublemma	6	6
10800052-18	52	sublemma	6	6
10800052-19	52	sublemma	6	6
10800052-20	52	sublemma	6	6
10800052-21	52	sublemma	6	6
10800052-22	52	sublemma	6	6
10800052-23	52	sublemma	6	6
10800052-24	52	sublemma	6	6
10800052-25	52	sublemma	6	6
10800052-26	52	sublemma	6	6
10800052-27	52	sublemma	6	6
10800052-28	52	sublemma	6	6
10800053-0	53	head	6	6
10800053-1	53	sublemma	6	6
10800053-2	53	sublemma	6	6
10800053-3	53	sublemma	6	7
10800054-0	54	head	7	7
10800054-1	54	sublemma	7	7
10800055-0	55	head	7	7
10800055-1	55	sublemma	7	7
10800055-2	55	sublemma	7	7
10800056-0	56	head	7	7
10800056-1	56	sublemma	7	7
10800057-0	57	head	7	7
10800057-1	57	sublemma	7	7
10800058-0	58	head	7	7
10800058-1	58	sublemma	7	7
10800059-0	59	head	7	7
10800059-1	59	sublemma	7	7
10800060-0	60	head	7	7
10800060-1	60	sublemma	7	7
10800061-0	61	head	7	7
10800061-1	61	sublemma	7	7
10800062-0	62	head	7	7
10800062-1	62	sublemma	7	7
10800063-0	63	head	7	7
10800063-1	63	sublemma	7	7
10800064-0	64	head	7	7
10800064-1	64	sublemma	7	8
10800064-2	64	sublemma	8	8
10800064-3	64	sublemma	8	8
10800064-4	64	sublemma	8	8
10800064-5	64	sublemma	8	8
10800064-6	64	sublemma	8	8
10800065-0	65	head	8	8
10800065-1	65	sublemma	8	8
10800066-0	66	head	8	8
10800066-1	66	sublemma	8	8
10800066-2	66	sublemma	8	8
10800067-0	67	head	8	8
10800067-1	67	sublemma	8	8
10800068-0	68	head	8	8
10800068-1	68	sublemma	8	8
10800068-2	68	sublemma	8	8
10800068-3	68	sublemma	8	8
10800068-4	68	sublemma	8	8
10800068-5	68	sublemma	8	8
10800069-0	69	head	8	8
10800069-1	69	sublemma	8	9
10800070-0	70	head	9	9
10800070-1	70	sublemma	9	9
10800070-2	70	sublemma	9	9
10800070-3	70	sublemma	9	9
10800070-4	70	sublemma	9	9
10800070-5	70	sublemma	9	9
10800070-6	70	sublemma	9	9
10800070-7	70	sublemma	9	9
10800070-8	70	sublemma	9	9
10800070-9	70	sublemma	9	9
10800070-10	70	sublemma	9	9
10800070-11	70	sublemma	9	9
10800071-0	71	head	9	9
10800071-1	71	sublemma	9	9
10800071-2	71	sublemma	9	9
10800071-3	71	sublemma	9	9
10800072-0	72	head	9	9
10800072-1	72	sublemma	9	9
10800072-2	72	sublemma	9	9
10800072-3	72	sublemma	9	9
10800073-0	73	head	9	9
10800073-1	73	sublemma	9	9
10800074-0	74	head	9	9
10800074-1	74	sublemma	9	9
10800074-2	74	sublemma	9	9
10800074-3	74	sublemma	9	9
10800075-0	75	head	9	9
10800075-1	75	sublemma	9	9
10800076-0	76	head	9	9
10800076-1	76	sublemma	9	9
10800076-2	76	sublemma	9	9
10800076-3	76	sublemma	9	9
10800076-4	76	sublemma	10	10
10800076-5	76	sublemma	10	10
10800076-6	76	sublemma	10	10
10800076-7	76	sublemma	10	10
10800076-8	76	sublemma	10	10
10800076-9	76	sublemma	10	10
10800076-10	76	sublemma	10	10
10800076-11	76	sublemma	10	10
10800076-12	76	sublemma	10	10
10800076-13	76	sublemma	10	10
10800076-14	76	sublemma	10	10
10800076-15	76	sublemma	10	10
10800076-16	76	sublemma	10	10
10800076-17	76	sublemma	10	10
10800076-18	76	sublemma	10	10
10800076-19	76	sublemma	10	10
10800076-20	76	sublemma	10	10
10800076-21	76	sublemma	10	10
10800076-22	76	sublemma	10	10
10800076-23	76	sublemma	10	10
10800076-24	76	sublemma	10	11
10800076-25	76	sublemma	11	11
10800077-0	77	head	11	11
10800077-1	77	sublemma	11	11
10800078-0	78	head	11	11
